state,eligible_renewable_other_technologies_nm,system_capacity_limit_nm,applicable_sectors_nm,net_excess_generation_nm,net_metering,solar,wind,geo,res,com,ind,res_limit,com_limit,ind_limit,max_fraction_demand,cap_based_on_energy
AL,,,,,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,0
AK,"Solar Thermal Electric, Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, Geothermal Electric, Municipal Solid Waste, Hydrokinetic, Anaerobic Digestion, Small Hydroelectric, Tidal Energy, Wave Energy, Ocean Thermal",25 kW,"Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Federal Government, Agricultural, Institutional",Reconciled monthly,C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25,25,25,0,0
AZ,"Solar Thermal Electric, Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, Geothermal Electric, Municipal Solid Waste, CHP/Cogeneration, Hydrogen, Biogas, Anaerobic Digestion, Small Hydroelectric, Fuel Cells using Renewable Fuels","No capacity limit specified, but system must be sized to meet part or all of customerês electric load and may not exceed 125% of customerês total connected load ","Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Institutional",Credited to customer's next bill at retail rate; excess reconciled annually at avoided-cost rate ,A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Inf,Inf,Inf,1.00E+40,0
AR,"Solar Thermal Electric, Photovoltaics, Wind, Biomass, Hydroelectric, Geothermal Electric, Microturbines using Renewable Fuels, Small Hydroelectric, Fuel Cells using Renewable Fuels",300 kW for non-residential; 25 kW for residential ,"Commercial, Industrial, Residential, General Public/Consumer, Nonprofit, Schools, Local Government, State Government, Fed. Government, Agricultural, Institutional",Credited to customer's next bill at retail rate; granted to utility at end of 12-month billing cycle,B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25,300,300,1.00E+40,0
CA,"Photovoltaics, Wind, Fuel Cells, Biogas from manure methane production or as a byproduct of the anaerobic digestion of biosolids and animal waste",1 MW ,"Commercial, Industrial, Residential, Agricultural","Credited to customer's next monthly bill at retail rate.After 12 month period, customer may opt to have net excess generation roll over indefinitely, or to have the utility pay for any net excess at a rate to be determined by the rate making authority. If customer makes no affirmative decision, net excess generation will be granted to utility with no compensation",A,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,1000,1000,1000,0.05,0
CO,"Solar Thermal Electric, Photovoltaics, Wind, Biomass, Hydroelectric, Geothermal Electric, Recycled Energy, Small Hydroelectric, Fuel Cells using Renewable Fuels","IOU customers: 120% of the customer's average annual consumption.Muni and co-op customers: 25 kW for non-residential & 10 kW for residential ","Commercial, Industrial, Residential","Credited to customer's next bill at retail rate.IOUs pay customers at end of calendar year at average hourly incremental cost, or customer may opt for indefinite roll-overMunis and co-ops provide annual reconciliation at a rate they deem appropriate.",A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Inf,Inf,Inf,1.00E+40,0
CT,"Solar Thermal Electric, Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, Fuel Cells, Municipal Solid Waste, Small Hydroelectric, Tidal Energy, Wave Energy, Ocean Thermal",2 MW ,"Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Fed. Government, Multi-Family Residential, Agricultural, Institutional",Credited to customer's next bill at retail rate; excess reconciled annually at either avoided-cost rate or time-of-use/generation rate (for PV systems) ,A,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,2000,2000,2000,1.00E+40,0
DE,"Photovoltaics, Wind, Biomass, Hydroelectric, Anaerobic Digestion, Small Hydroelectric, Fuel Cells ",DP&L: 2 MW for non-residential DP&L customers; 500 kW non-residential DEC and municipal utility customers; 25 kW for all residential customers; 100 kW for all farm customers on residential rates ,"Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Fed. Government, Agricultural, Institutional",Credited to customer's next bill at retail rate; indefinite rollover permitted but customer may request payment at the energy supply rate at the end of an annualized period. ,A,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,25,1500,1500,0.05,0
DC,"Solar Thermal Electric, Photovoltaics, Wind, Biomass, Hydroelectric, Geothermal Electric, Fuel Cells, CHP/Cogeneration, Anaerobic Digestion, Small Hydroelectric, Tidal Energy, Microturbines",1 MW (full retail only up to 100 kW),"Commercial, Residential","Credited to customer's next bill at the full retail rate for systems 100 kW or less or at generation rate (i.e., avoided cost) for systems larger than 100 kW; credits may be carried forward indefinitely ",A,TRUE,TRUE,TRUE,TRUE,TRUE,#VALUE!,100,100,100,1.00E+40,0
FL,"Solar Thermal Electric, Photovoltaics, Wind, Biomass, Hydroelectric, Geothermal Electric, CHP/Cogeneration, Hydrogen, Small Hydroelectric, Tidal Energy, Wave Energy, Ocean Thermal",2 MW ,"Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Tribal Government, Fed. Government, Agricultural, Institutional",Credited to customer's next bill at retail rate; excess reconciled annually at avoided-cost rate ,B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2000,2000,2000,1.00E+40,0
