nerc_region_abbr,nerc_region_desc,sector,year,escalation_factor,source,sector_abbr
TRE,Texas Regional Entity,Residential,2014,1,AEO2022 Reference,res
TRE,Texas Regional Entity,Residential,2014,1,AEO2022 High Growth,res
TRE,Texas Regional Entity,Residential,2014,1,AEO2022 Low Growth,res
TRE,Texas Regional Entity,Residential,2014,1,AEO2022 High Oil Price,res
TRE,Texas Regional Entity,Residential,2014,1,AEO2022 Low Oil Price,res
TRE,Texas Regional Entity,Residential,2014,1,AEO2022 High Oil and Gas Supply,res
TRE,Texas Regional Entity,Residential,2014,1,AEO2022 Low Oil and Gas Supply,res
TRE,Texas Regional Entity,Residential,2014,1,AEO2022 High Renewable Cost,res
TRE,Texas Regional Entity,Residential,2014,1,AEO2022 Low Renewable Cost,res
TRE,Texas Regional Entity,Residential,2014,1,AEO2021 Reference,res
FRCC,Florida Reliability Coordinating Council,Residential,2014,1,AEO2022 Reference,res
FRCC,Florida Reliability Coordinating Council,Residential,2014,1,AEO2022 High Growth,res
FRCC,Florida Reliability Coordinating Council,Residential,2014,1,AEO2022 Low Growth,res
FRCC,Florida Reliability Coordinating Council,Residential,2014,1,AEO2022 High Oil Price,res
FRCC,Florida Reliability Coordinating Council,Residential,2014,1,AEO2022 Low Oil Price,res
FRCC,Florida Reliability Coordinating Council,Residential,2014,1,AEO2022 High Oil and Gas Supply,res
FRCC,Florida Reliability Coordinating Council,Residential,2014,1,AEO2022 Low Oil and Gas Supply,res
FRCC,Florida Reliability Coordinating Council,Residential,2014,1,AEO2022 High Renewable Cost,res
FRCC,Florida Reliability Coordinating Council,Residential,2014,1,AEO2022 Low Renewable Cost,res
FRCC,Florida Reliability Coordinating Council,Residential,2014,1,AEO2021 Reference,res
MISW,Midcontinent ISO / West,Residential,2014,1,AEO2022 Reference,res
MISW,Midcontinent ISO / West,Residential,2014,1,AEO2022 High Growth,res
MISW,Midcontinent ISO / West,Residential,2014,1,AEO2022 Low Growth,res
MISW,Midcontinent ISO / West,Residential,2014,1,AEO2022 High Oil Price,res
MISW,Midcontinent ISO / West,Residential,2014,1,AEO2022 Low Oil Price,res
MISW,Midcontinent ISO / West,Residential,2014,1,AEO2022 High Oil and Gas Supply,res
MISW,Midcontinent ISO / West,Residential,2014,1,AEO2022 Low Oil and Gas Supply,res
MISW,Midcontinent ISO / West,Residential,2014,1,AEO2022 High Renewable Cost,res
MISW,Midcontinent ISO / West,Residential,2014,1,AEO2022 Low Renewable Cost,res
MISW,Midcontinent ISO / West,Residential,2014,1,AEO2021 Reference,res
MISC,Midcontinent ISO / Central,Residential,2014,1,AEO2022 Reference,res
MISC,Midcontinent ISO / Central,Residential,2014,1,AEO2022 High Growth,res
MISC,Midcontinent ISO / Central,Residential,2014,1,AEO2022 Low Growth,res
MISC,Midcontinent ISO / Central,Residential,2014,1,AEO2022 High Oil Price,res
MISC,Midcontinent ISO / Central,Residential,2014,1,AEO2022 Low Oil Price,res
