sector,description,units,variable
Commercial,State Income Tax Incentive (Deduction),% of system cost,WindComTDPercC_Staxdeductions
Residential,State Production Tax Credit - Energy,$/kWh,WindResPTCDolKWh_Staxcredits
Commercial,State Production Tax Credit - Energy,$/kWh,WindComPTCDolKWh_Staxcredits
All,State Production Tax Credit Term,years,WindPTCYears_Staxcredits
All,State Production Tax Credit Max Eligible Size,kW,WindTCMaxKW_Staxcredits
Residential,State Capital Cost Rebate - Capacity,$/kW,WindResDolKW_Srebatesgrants
Residential,State Capital Cost Rebate - Max % of installed cost,% of system cost,WindResPercMax_Srebatesgrants
Residential,State Capital Cost Rebate Max Eligible Size,kW,WindResMaxKW_Srebatesgrants
Residential,State Capital Cost Rebate - $ Limit,$,WindResMaxDol_Srebatesgrants
Commercial,State Income Tax Credit Amount,% of system cost,WindComTCPercC_Staxcredits
Commercial,State Income Tax Credit Limit,$,WindComTCMaxDol_Staxcredits
All,State Tax Credit Min Eligible Size,kW,WindTCMinKW_Staxcredits
Commercial,State Max $ Payout for tax credits,"$/yr, (applicable to PTC)",WindComMaxDolYr_Staxcredits
Residential,State Income Tax Credit Amount,% of system cost,WindResTCPercC_Staxcredits
Residential,State Income Tax Credit Limit,$,WindResTCMaxDol_Staxcredits
Commercial,State Capital Cost Rebate - Capacity,$/kW,WindComDolKW_Srebatesgrants
Non-Taxed,State Capital Cost Rebate - Capacity,$/kW,WindNPDolKW_Srebatesgrants
Residential,State PBI Rate,$/kWh,WindResPbiDolKWh_Sproduction
Commercial,State PBI Rate,$/kWh,WIndComPbiDolKWh_Sproduction
Non-Taxed,State PBI Rate,$/kWh,WindNPPbiDolKWh_Sproduction
Residential,State Max Payout for  PBI or FIT,$/yr,WindResMaxDolYr_Sproduction
Commercial,State Max Payout for  PBI or FIT,$/yr,WindComMaxDolYr_Sproduction
Non-Taxed,State Max Payout for  PBI or FIT,$/yr,WindNPMaxDolYr_Sproduction
Residential,State Max Payout for tax credit,$/yr,WindResMaxDolYr_Staxcredits
Residential,State Income Tax Incentive (Deduction),% of system cost,WindResTDPercC_Staxdeductions
Residential,State Income Tax Incentive (Deduction) Max Amount,$,WindResTDMaxDol_Staxdeductions
Commercial,Federal ITC,% of system cost,WindComTCPercC_Ftaxcredits
Commercial,State Capital Cost Rebate - Max % Installed Cost,% of system cost,WindComPercMax_Srebatesgrants
Non-Taxed,State Capital Cost Rebate - Max % Installed Cost,% of system cost,WindNPPercMax_Srebatesgrants
Commercial,State Capital Cost Rebate Max Eligible Size,kW,WindComMaxKW_Srebatesgrants
Commercial,State Capital Cost Rebate - $ Limit,$,WindComMaxDol_Srebatesgrants
Non-Taxed,State Capital Cost Rebate - $ Limit,$,WindNPMaxDol_Srebatesgrants
All,State FIT / PBI Max Eligibe Size - Capacity,kW,WindPbiFitMaxKW_Sproduction
All,State FIT or PBI Term,years,WindYears_Sproduction
Residential,State Capital Cost Rebate Min Eligible Size,kW,WindResMinKW_Srebatesgrants
Commercial,State Capital Cost Rebate Min Eligible Size,kW,WindComMinKW_Srebatesgrants
All,State Capital Cost Rebate - Incremental Capacity 1,kW,WindIncr1KW_Srebatesgrants
Residential,State Capital Cost Rebate - Incremental Capacity Rate 1,$/kW,WindResIncr1DolKW_Srebatesgrants
Commercial,State Capital Cost Rebate - Incremental Capacity Rate 1,$/kW,WindComIncr1DolKW_Srebatesgrants
Non-Taxed,State Capital Cost Rebate - Incremental Capacity Rate 1,$/kW,WindNPIncr1DolKW_Srebatesgrants
All,State Capital Cost Rebate - Incremental Capacity 2,kW,WindIncr2KW_Srebatesgrants
Residential,State Capital Cost Rebate - Incremental Capacity Rate 2,$/kW,WindResIncr2DolKW_Srebatesgrants
Commercial,State Capital Cost Rebate - Incremental Capacity Rate 2,$/kW,WindComIncr2DolKW_Srebatesgrants
Non-Taxed,State Capital Cost Rebate - Incremental Capacity Rate 2,$/kW,WindNPIncr2DolKW_Srebatesgrants
All,State Capital Cost Rebate - Incremental Capacity 3,"CA SGIP, kW",WindIncr3KW_Srebatesgrants
Commercial,State Capital Cost Rebate - Incremental Capacity Rate 3,$/kW,WindComIncr3DolKW_Srebatesgrants
Non-Taxed,State Capital Cost Rebate - Incremental Capacity Rate 3,$/kW,WindNPIncr3DolKW_Srebatesgrants
Residential,Federal Residential RE Tax Credit,% of system cost,WindResTCPercC_Ftaxcredits
Residential,State FIT / PBI Max $ Amount,$,WindResPbiFitMaxDol_Srebatesgrants
Commercial,State FIT / PBI Max $ Amount,$,WindComPbiFitMaxDol_Srebatesgrants
Non-Taxed,State FIT / PBI Max $ Amount,$,WindNPPbiFitMaxDol_Srebatesgrants
All,State FIT / PBI Term,years,WindYears_Srebatesgrants
All,State FIT / PBI Max Eligible Size - Capacity,kW,WindPbiFitMaxKW_Srebatesgrants
Residential,State FIT/ PBI Max % of Installed Cost,% of system cost,WindResPbiFitPercMax_Srebatesgrants
Commercial,State FIT / PBI Max % of Installed Cost,% ,WindComPbiFitPercMax_Srebatesgrants
Non-Taxed,State FIT / PBI Max % of installed cost,% ,WindNPPbiFitPercMax_Srebatesgrants
Residential,State FIT Rate,$/kWh,WindResFitDolKWh_Sproduction
Commercial,State FIT Rate,$/kWh,WindComFitDolKWh_Sproduction
Non-Taxed,State FIT Rate,$/kWh,WindNPFitDolKWh_Sproduction
All,State FIT Min Size,kW,WindPbiFitMinKW_Sproduction
Commercial,State Capital Cost Production Based Rebate,$/kWh,WindComDolKWh_Sproduction
Residential,State Capital Cost Production Based Rebate,$/kWh,WindResDolKWh_Sproduction
Government Non-Profit,State Capital Cost Production Based Rebate,$/kWh,WindNPDolKWh_Sproduction
Commercial,State Capital Cost Production Based Rebate - Incremental Rate 1,$/kWh,WindComIncr1DolKWh_Sproduction
Residential,State Capital Cost Production Based Rebate - Incremental Rate 1,$/kWh,WindResIncr1DolKWh_Sproduction
Government Non-Profit,State Capital Cost Production Based Rebate - Incremental Rate 1,$/kWh,WindNPIncr1DolKWh_Sproduction
Commercial,State Capital Cost Production Based Rebate - Incremental Rate 2,$/kWh,WindComIncr2DolKWh_Sproduction
Residential,State Capital Cost Production Based Rebate - Incremental Rate 2,$/kWh,WindResIncr2DolKWh_Sproduction
Government Non-Profit,State Capital Cost Production Based Rebate - Incremental Rate 2,$/kWh,WindNPIncr2DolKWh_Sproduction
Commercial,State Capital Cost Production Based Rebate - Incremental Rate 3,$/kWh,WindComIncr3DolKWh_Sproduction
Residential,State Capital Cost Production Based Rebate - Incremental Rate 3,$/kWh,WindResIncr3DolKWh_Sproduction
Government Non-Profit,State Capital Cost Production Based Rebate - Incremental Rate 3,$/kWh,WindNPIncr3DolKWh_Sproduction
