variable,state_abbr,value,sector,description,units
WindPTCYears_Staxcredits,AZ,10,All,State Production Tax Credit Term,years
WindResDolKW_Srebatesgrants,AZ,0,Residential,State Capital Cost Rebate - Capacity,$/kW
WindComTCPercC_Staxcredits,AZ,0.1,Commercial,State Income Tax Credit Amount,% of system cost
WindComTCMaxDol_Staxcredits,AZ,"25,000.00",Commercial,State Income Tax Credit Limit,$
WindTCMinKW_Staxcredits,AZ,"5,000.00",All,State Tax Credit Min Eligible Size,kW
WindComMaxDolYr_Staxcredits,AZ,"2,000,000.00",Commercial,State Max $ Payout for tax credits,"$/yr, (applicable to PTC)"
WindResTCPercC_Staxcredits,AZ,0.25,Residential,State Income Tax Credit Amount,% of system cost
WindResTCMaxDol_Staxcredits,AZ,"1,000.00",Residential,State Income Tax Credit Limit,$
WindResDolKW_Srebatesgrants,CA,"1,070.00",Residential,State Capital Cost Rebate - Capacity,$/kW
WindResPercMax_Srebatesgrants,CA,0.6,Residential,State Capital Cost Rebate - Max % of installed cost,% of system cost
WindResMaxKW_Srebatesgrants,CA,"3,000.00",Residential,State Capital Cost Rebate Max Eligible Size,kW
WindResMaxDol_Srebatesgrants,CA,"5,000,000.00",Residential,State Capital Cost Rebate - $ Limit,$
WindComDolKW_Srebatesgrants,CA,"1,070.00",Commercial,State Capital Cost Rebate - Capacity,$/kW
WindComPercMax_Srebatesgrants,CA,0.6,Commercial,State Capital Cost Rebate - Max % Installed Cost,% of system cost
WindComMaxKW_Srebatesgrants,CA,"3,000.00",Commercial,State Capital Cost Rebate Max Eligible Size,kW
WindComMaxDol_Srebatesgrants,CA,"5,000,000.00",Commercial,State Capital Cost Rebate - $ Limit,$
WindYears_Sproduction,CA,5,All,State FIT or PBI Term,years
WindComDolKWh_Sproduction,CA,(0.5 * 1070 * turbine rated capacity)/ (turbine rated capacity * 0.25 * 8760 * 5),Commercial,State Capital Cost Production Based Rebate,$/kWh
WindResDolKWh_Sproduction,CA,(0.5 * 1070 * turbine rated capacity)/ (turbine rated capacity * 0.25 * 8760 * 5),Residential,State Capital Cost Production Based Rebate,$/kWh
WindComMinKW_Sproduction,CA,30,Commercial,State Capital Cost Production Based Rebate Min Eligible Size,kW
WindResMinKW_Sproduction,CA,30,Residential,State Capital Cost Production Based Rebate Min Eligible Size,kW
WindComMaxKW_Sproduction,CA,"3,000.00",Commercial,State Capital Cost Production Based Rebate Max Eligible Size,kW
WindResMaxKW_Sproduction,CA,"3,000.00",Residential,State Capital Cost Production Based Rebate Max Eligible Size,kW
WindComPercMax_Sproduction,CA,0.3,Commercial,State Capital Cost Production Based Rebate - Max % of installed cost,% of system cost
WindResPercMax_Sproduction,CA,0.3,Residential,State Capital Cost Production Based Rebate - Max % of installed cost,% of system cost
WindResMaxDol_Srebatesgrants,DE,"15,000.00",Residential,State Capital Cost Rebate - $ Limit,$
WindComMaxDol_Srebatesgrants,DE,"24,000.00",Commercial,State Capital Cost Rebate - $ Limit,$
WindResIncr1DolKW_Srebatesgrants,DE,850,Residential,State Capital Cost Rebate - Incremental Capacity Rate 1,$/kW
WindComIncr1DolKW_Srebatesgrants,DE,850,Commercial,State Capital Cost Rebate - Incremental Capacity Rate 1,$/kW
WindIncr2KW_Srebatesgrants,DE,5,All,State Capital Cost Rebate - Incremental Capacity 2,kW
WindResIncr2DolKW_Srebatesgrants,DE,250,Residential,State Capital Cost Rebate - Incremental Capacity Rate 2,$/kW
WindComIncr2DolKW_Srebatesgrants,DE,250,Commercial,State Capital Cost Rebate - Incremental Capacity Rate 2,$/kW
WindIncr3KW_Srebatesgrants,DE,51,All,State Capital Cost Rebate - Incremental Capacity 3,"CA SGIP, kW"
WindComIncr3DolKW_Srebatesgrants,DE,0,Commercial,State Capital Cost Rebate - Incremental Capacity Rate 3,$/kW
WindComTCPercC_Staxcredits,HI,0.2,Commercial,State Income Tax Credit Amount,% of system cost
WindComTCMaxDol_Staxcredits,HI,"500,000.00",Commercial,State Income Tax Credit Limit,$
WindResTCPercC_Staxcredits,HI,0.2,Residential,State Income Tax Credit Amount,% of system cost
WindResTCMaxDol_Staxcredits,HI,"1,500.00",Residential,State Income Tax Credit Limit,$
WindPbiFitMaxKW_Sproduction,HI,0,All,State FIT / PBI Max Eligibe Size - Capacity,kW
WindYears_Sproduction,HI,0,All,State FIT or PBI Term,years
WindResFitDolKWh_Sproduction,HI,0,Residential,State FIT Rate,$/kWh
WindComFitDolKWh_Sproduction,HI,0,Commercial,State FIT Rate,$/kWh
WindResPTCDolKWh_Staxcredits,IA,0,Residential,State Production Tax Credit - Energy,$/kWh
WindComPTCDolKWh_Staxcredits,IA,0,Commercial,State Production Tax Credit - Energy,$/kWh
WindPTCYears_Staxcredits,IA,0,All,State Production Tax Credit Term,years
WindTCMaxKW_Staxcredits,IA,0,All,State Production Tax Credit Max Eligible Size,kW
WindResTDPercC_Staxdeductions,ID,1,Residential,State Income Tax Incentive (Deduction),% of system cost
WindResTDMaxDol_Staxdeductions,ID,"20,000.00",Residential,State Income Tax Incentive (Deduction) Max Amount,$
WindResDolKW_Srebatesgrants,IL,"1,750.00",Residential,State Capital Cost Rebate - Capacity,$/kW
WindResPercMax_Srebatesgrants,IL,0.3,Residential,State Capital Cost Rebate - Max % of installed cost,% of system cost
WindResMaxKW_Srebatesgrants,IL,100,Residential,State Capital Cost Rebate Max Eligible Size,kW
WindResMaxDol_Srebatesgrants,IL,"10,000.00",Residential,State Capital Cost Rebate - $ Limit,$
WindComDolKW_Srebatesgrants,IL,"1,750.00",Commercial,State Capital Cost Rebate - Capacity,$/kW
WindComPercMax_Srebatesgrants,IL,0.3,Commercial,State Capital Cost Rebate - Max % Installed Cost,% of system cost
WindComMaxDol_Srebatesgrants,IL,"20,000.00",Commercial,State Capital Cost Rebate - $ Limit,$
WindComTCPercC_Staxcredits,KY,0.3,Commercial,State Income Tax Credit Amount,% of system cost
WindComTCMaxDol_Staxcredits,KY,"1,000.00",Commercial,State Income Tax Credit Limit,$
WindResTCPercC_Staxcredits,KY,0.3,Residential,State Income Tax Credit Amount,% of system cost
WindResTCMaxDol_Staxcredits,KY,500,Residential,State Income Tax Credit Limit,$
