State Abbreviation,WindComTDPercC_Staxdeductions,WindResPTCDolKWh_Staxcredits,WindComPTCDolKWh_Staxcredits,WindPTCYears_Staxcredits,WindTCMaxKW_Staxcredits,WindResDolKW_Srebatesgrants,WindResPercMax_Srebatesgrants,WindResMaxKW_Srebatesgrants,WindResMaxDol_Srebatesgrants,WindComTCPercC_Staxcredits,WindComTCMaxDol_Staxcredits,WindTCMinKW_Staxcredits,WindComMaxDolYr_Staxcredits,WindResTCPercC_Staxcredits,WindResTCMaxDol_Staxcredits,WindComDolKW_Srebatesgrants,WindNPDolKW_Srebatesgrants,WindResPbiDolKWh_Sproduction,WIndComPbiDolKWh_Sproduction,WindNPPbiDolKWh_Sproduction,WindResMaxDolYr_Sproduction,WindComMaxDolYr_Sproduction,WindNPMaxDolYr_Sproduction,WindResMaxDolYr_Staxcredits,WindResTDPercC_Staxdeductions,WindResTDMaxDol_Staxdeductions,WindComTCPercC_Ftaxcredits,WindComPercMax_Srebatesgrants,WindNPPercMax_Srebatesgrants,WindComMaxKW_Srebatesgrants,WindComMaxDol_Srebatesgrants,WindNPMaxDol_Srebatesgrants,WindPbiFitMaxKW_Sproduction,WindYears_Sproduction,WindResMinKW_Srebatesgrants,WindComMinKW_Srebatesgrants,WindIncr1KW_Srebatesgrants,WindResIncr1DolKW_Srebatesgrants,WindComIncr1DolKW_Srebatesgrants,WindNPIncr1DolKW_Srebatesgrants,WindIncr2KW_Srebatesgrants,WindResIncr2DolKW_Srebatesgrants,WindComIncr2DolKW_Srebatesgrants,WindNPIncr2DolKW_Srebatesgrants,WindIncr3KW_Srebatesgrants,WindComIncr3DolKW_Srebatesgrants,WindNPIncr3DolKW_Srebatesgrants,WindResTCPercC_Ftaxcredits,WindResPbiFitMaxDol_Srebatesgrants,WindComPbiFitMaxDol_Srebatesgrants,WindNPPbiFitMaxDol_Srebatesgrants,WindYears_Srebatesgrants,WindPbiFitMaxKW_Srebatesgrants,WindResPbiFitPercMax_Srebatesgrants,WindComPbiFitPercMax_Srebatesgrants,WindNPPbiFitPercMax_Srebatesgrants,WindResFitDolKWh_Sproduction,WindComFitDolKWh_Sproduction,WindNPFitDolKWh_Sproduction,WindPbiFitMinKW_Sproduction,WindComDolKWh_Sproduction,WindResDolKWh_Sproduction,WindNPDolKWh_Sproduction,WindComIncr1DolKWh_Sproduction,WindResIncr1DolKWh_Sproduction,WindNPIncr1DolKWh_Sproduction,WindComIncr2DolKWh_Sproduction,WindResIncr2DolKWh_Sproduction,WindNPIncr2DolKWh_Sproduction,WindComIncr3DolKWh_Sproduction,WindResIncr3DolKWh_Sproduction,WindNPIncr3DolKWh_Sproduction,WindIncr1kW_Sproduction,WindIncr2kW_Sproduction,WindIncr3kW_Sproduction,WindIncr1KWh_Sproduction,WindIncr2KWh_Sproduction,WindIncr3KWh_Sproduction,WindIncr1MaxDol_Sproduction,WindIncr2MaxDol_Sproduction,WindComMinKW_Sproduction,WindResMinKW_Sproduction,WindNPMinKW_Sproduction,WindComMaxKW_Sproduction,WindResMaxKW_Sproduction,WindNPMaxKW_Sproduction,WindComPercMax_Sproduction,WindResPercMax_Sproduction,WindNPPercMax_Sproduction,WindComMaxDol_Sproduction,WindResMaxDol_Sproduction,WindNPMaxDol_Sproduction,
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,,,,10.00 ,,0.00 ,,,,0.10 ,"25,000.00 ","5,000.00 ","2,000,000.00 ",0.25 ,"1,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,,,,,"1,070.00 ",0.60 ,"3,000.00 ","5,000,000.00 ",,,,,,,"1,070.00 ","1,070.00 ",,,,,,,,,,,0.60 ,0.60 ,"3,000.00 ","5,000,000.00 ","5,000,000.00 ",,5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,=(0.5 * 1070 * turbine rated capacity)/ (turbine rated capacity * 0.25 * 8760 * 5),=(0.5 * 1070 * TURBINE rated capacity)/ (TURBINE rated capacity * 0.25 * 8760 * 5),=(0.5 * 1070 * turbine rated capacity)/ (turbine rated capacity * 0.25 * 8760 * 5),,,,,,,,,,,,,,,,,,30.00 ,30.00 ,30.00 ,"3,000.00 ","3,000.00 ","3,000.00 ",0.30 ,0.30 ,0.60 ,,,,
CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,,,,,,,,,"15,000.00 ",,,,,,,,,,,,,,,,,,,,,,"24,000.00 ","50,000.00 ",,,,,,850.00 ,850.00 ,"1,750.00 ",5.00 ,250.00 ,250.00 ,"1,000.00 ",51.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30 ,,,,,,,,,,,,,,,,,,,,,0.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
